                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.90265,                0.75926,                 1.2085,                0.98323,                0.98529,                0.99021,                0.82615,                 0.6787,                0.71162,                 1.1179,              0.0036145,              0.0036145,              0.0036145
                    131,                0.90001,                0.77166,                 1.2881,                0.98554,                0.98529,                0.99148,                 0.8362,                0.67958,                0.70222,                 1.1323,               0.003565,               0.003565,               0.003565
                    132,                0.87081,                0.76428,                 1.1441,                0.99676,                0.98529,                0.99148,                0.82138,                0.67803,                0.64215,                 1.1228,              0.0035155,              0.0035155,              0.0035155
                    133,                0.86263,                0.79605,                 1.1751,                0.96928,                0.98529,                0.98948,                  0.832,                0.68888,                 0.6559,                  1.116,               0.003466,               0.003466,               0.003466
                    134,                0.96013,                0.83382,                 1.2184,                0.99398,                0.98529,                0.99223,                 0.8292,                0.70477,                0.64893,                  1.109,              0.0034165,              0.0034165,              0.0034165
                    135,                0.90155,                0.75497,                 1.1183,                0.98284,                0.98529,                0.99258,                0.84347,                0.68473,                0.61153,                 1.1098,               0.003367,               0.003367,               0.003367
                    136,                0.84559,                0.73346,                 1.1282,                0.99841,                0.98529,                0.99319,                0.83165,                0.67251,                0.60966,                  1.104,              0.0033175,              0.0033175,              0.0033175
                    137,                0.86092,                0.73211,                 1.1281,                0.99901,                0.98529,                0.99395,                0.83856,                0.63228,                0.56415,                 1.0773,               0.003268,               0.003268,               0.003268
                    138,                0.85384,                0.74964,                 1.1514,                0.99672,                0.98529,                0.99361,                0.84802,                0.64111,                0.58992,                  1.074,              0.0032185,              0.0032185,              0.0032185
                    139,                0.88071,                0.71813,                 1.1354,                 0.9984,                0.98529,                0.99361,                 0.8467,                0.66668,                0.57287,                 1.1044,               0.003169,               0.003169,               0.003169
                    140,                 0.7458,                0.67271,                 1.1327,                0.99781,                0.98529,                 0.9931,                0.84924,                0.61491,                0.57128,                 1.0688,              0.0031195,              0.0031195,              0.0031195
                    141,                0.90176,                0.73683,                  1.132,                0.99816,                0.98529,                0.99329,                0.86737,                0.59013,                0.53948,                 1.0609,                0.00307,                0.00307,                0.00307
                    142,                0.81223,                0.70257,                 1.1085,                0.99765,                0.98529,                0.99319,                0.86309,                0.61873,                0.52812,                 1.0666,              0.0030205,              0.0030205,              0.0030205
                    143,                0.83139,                0.64497,                 1.0907,                0.99788,                0.98529,                0.99395,                0.82262,                0.66864,                0.60602,                 1.0902,               0.002971,               0.002971,               0.002971
                    144,                0.79834,                0.72798,                 1.1526,                0.99807,                0.98529,                0.99407,                 0.8524,                0.60677,                0.54925,                 1.0539,              0.0029215,              0.0029215,              0.0029215
                    145,                  0.796,                0.75374,                 1.1597,                0.99796,                0.98529,                0.99361,                0.84214,                0.62621,                0.55164,                 1.0719,               0.002872,               0.002872,               0.002872
                    146,                0.85052,                0.77089,                 1.1468,                0.99819,                0.98529,                0.99361,                0.85286,                0.61477,                0.54885,                 1.0532,              0.0028225,              0.0028225,              0.0028225
                    147,                0.83413,                0.70506,                 1.1071,                0.99702,                0.98529,                 0.9931,                0.85638,                0.59549,                0.53024,                 1.0558,               0.002773,               0.002773,               0.002773
                    148,                0.81939,                0.72706,                 1.1547,                0.99853,                0.98529,                0.99291,                0.85068,                0.63302,                0.56176,                 1.0633,              0.0027235,              0.0027235,              0.0027235
                    149,                0.76375,                0.64389,                 1.0689,                0.99797,                0.98529,                0.99231,                0.86242,                0.63038,                 0.5496,                 1.0631,               0.002674,               0.002674,               0.002674
                    150,                 0.7973,                0.69565,                 1.0866,                0.99607,                0.98529,                 0.9918,                0.83949,                0.66645,                0.57178,                 1.0638,              0.0026245,              0.0026245,              0.0026245
